,number,species,lon,lat
1,CAS203553,Agkistrodon contortrix,-90.49508231,38.96836261
2,CAS203555,Agkistrodon contortrix,-90.91443611,37.92668333
3,CAS203566,Agkistrodon contortrix,-91.52694444,35.39361111
4,CAS203564,Agkistrodon contortrix,-90.46245,37.12165556
5,CAS203548,Agkistrodon contortrix,-89.7626,37.872
6,CAS169500,Diadophis punctatus,-123.0867536,44.05206911
7,CAS210370,Diadophis punctatus,-105.2248667,35.5537
8,CAS215252,Diadophis punctatus arnyi,-90.56397778,38.52127222
9,CAS223579,Diadophis punctatus,-118.6605,35.90033333
10,CAS211736,Diadophis punctatus,-122.41718,37.58028
11,CAS222424,Diadophis punctatus,-91.17277778,30.36785278
12,CAS241825,Diadophis punctatus vandenburghii,-121.0734167,35.59663889
13,CAS223614,Masticophis flagellum,-116.1584318,33.1532475
14,CAS229232,Masticophis flagellum,-104.2191667,35.34466667
15,CAS162020,Storeria dekayi,-79.53386,33.14123
16,CAS199805,Storeria dekayi,-82.80616589,41.54882969
17,CAS210409,Storeria dekayi,-79.24691667,41.18311667
18,CAS214286,Thamnophis sirtalis,-121.9174,38.27707778
19,CAS236596,Thamnophis sirtalis,-123.1096667,38.68222222
20,CAS245560,Thamnophis sirtalis,-119.8081667,38.485
21,CAS206416,Thamnophis sirtalis fitchi,-120.4750833,39.18641667
22,CAS208521,Thamnophis sirtalis infernalis,-120.2538167,35.20633333
23,CAS209170,Thamnophis sirtalis fitchi,-122.9439444,39.25691667
24,CAS236292,Thamnophis sirtalis,-119.6916667,37.43588889
25,CAS214291,Thamnophis sirtalis,-89.2845,41.8952
26,CAS208629,Thamnophis sirtalis fitchi,-121.9166667,44.16666667
27,CAS165401,Thamnophis sirtalis,-88.54261781,44.02468489
28,CAS180778,Thamnophis sirtalis,-92.17480556,45.60697778
29,CAS250608,Lampropeltis getulus californiae,-123.3393333,38.95975
30,CAS263140,Lampropeltis getulus californiae,-120.8079083,38.36080278
39,KU337018,Agkistrodon contortrix,-96.60919,39.10677
40,KU348892,Lampropeltis calligaster,-98.706637,38.449003
41,KU332065,Lampropeltis calligaster,-94.8081,38.93774
42,KU289534,Lampropeltis calligaster,-95.1597324,32.243929
44,KU337069,Masticophis flagellum,-98.50497,38.91654
46,KU289566,Lampropeltis getula,-92.02992,32.55354
47,KU290660,Lampropeltis triangulum,-97.9922222,38.6772222
49,LACM189964,Masticophis flagellum,-117.22096,36.07936
50,LACM130800,Masticophis flagellum,-118.0302603,33.9775314
51,LACM131165,Masticophis flagellum,-110.2166667,23.6
53,LACM187031,Lampropeltis californiae,-115.88835,35.77306
54,LACM187392,Lampropeltis getula,-118.210861,37.228609
56,LSU84599,Agkistrodon contortrix,-93.0380556,31.5116667
57,LSU99213,Pantherophis slowinskii,-93.2097528,30.6562667
58,LSU99090,Lampropeltis triangulum amaura,-91.6802778,30.4219444
63,MSB78152,Thamnophis sirtalis,-106.90345,33.76575
67,MVZ175969,Lampropeltis calligaster,-78.62466,35.7872
68,MVZ161425,Masticophis flagellum,-114.03,28.51583333
69,MVZ230715,Masticophis flagellum,-120.31,36.10166667
71,MVZ275500,Masticophis flagellum,-101.96799,22.00816
72,MVZ164973,Thamnophis sirtalis,-121.5568207,36.37851365
74,MVZ241628,Thamnophis sirtalis,-111.88172,41.78933
75,MVZ228781,Thamnophis sirtalis,-121.5269,45.9975
78,MVZ175927,Lampropeltis getula,-78.76421,35.72642
80,MVZ137799,Lampropeltis getula,-82.2377,32.7824
83,MVZ249826,Lampropeltis triangulum,-114.3169713,40.3221725
84,MVZ235922,Lampropeltis triangulum,-110.5278333,39.5338333
85,MVZ269538,Lampropeltis triangulum,-92.50883,17.51693
86,OMNH15347,Agkistrodon contortrix,-96.18525,36.74242
87,OMNH2705,Agkistrodon contortrix,-98.70691,34.71767
88,OMNH4921,Agkistrodon contortrix,-95.99315,34.52619
89,OMNH2781,Agkistrodon contortrix,-93.95329,34.37701
90,OMNH7180,Agkistrodon contortrix,-97.3277,35.1787
91,OMNH6140,Pantherophis emoryi,-94.82885,35.638
92,OMNH6555,Pantherophis emoryi,-95.8839722,34.3167222
93,OMNH9224,Pantherophis emoryi,-99.84569,35.0155
94,OMNH8361,Pantherophis emoryi,-93.82875,34.4087
95,OMNH12693,Diadophis punctatus,-94.84618,35.67978
96,OMNH4991,Diadophis punctatus,-95.119,34.5588
97,OMNH6981,Diadophis punctatus,-94.499688,34.603813
98,OMNH6993,Diadophis punctatus,-91.456429,35.175378
99,OMNH2662,Lampropeltis calligaster,-99.68023,35.87393
100,OMNH7184,Lampropeltis calligaster,-96.1845,36.8192
101,OMNH8343,Lampropeltis calligaster,-94.05626,34.53947
102,OMNH15269,Lampropeltis calligaster,-95.62146,36.67002
