pop	mahalDist	southernEdgeDist	Zone	Location	State_Province	NumInds	Longitude	Latitude
CBI	44.4164132839983	1510508.95292542	Core	Cape_Breton_Island	NS	8	-61.18	46.1
CHL	12.6262406399079	619981.15245104	Edge	Chaffey's_Lock	ON	7	-76.25	44.58
CLK	12.9459326895709	1548460.97184176	Core	Cold_Lake	AB	14	-110.07	54.23
CPL	8.34901170179034	695595.393643547	Core	Chapleau	ON	14	-83.26	47.52
CYH	15.5918830161202	1121558.97643055	Edge	Cypress_Hills_Prov._Park	SK	11	-109.81	49.64
DCK	11.0836767469764	1027382.96671425	Core	Duck_Mountain	SK	13	-101.74	51.6
DPR	8.47669539991815	725548.343695734	Core	Deep_River	ON	14	-77.51	46.09
FIS	31.6345296137812	1801244.76718189	Core	Fischells_River	NL	9	-58.41	48.2
FNO	8.69561154126313	2413068.90070057	Core	Fort_Nelson	BC	15	-122.4	58.51
GAM	16.7801947786701	1058414.64657139	Core	Matagami	QC	15	-77.36	49.47
HBY	6.78238710124943	1177956.87602172	Core	Hudson_Bay	SK	15	-102.39	52.9
HST	11.5708028705602	903469.446455819	Core	Hearst	ON	12	-84.01	49.76
HWK	38.6022107359836	2006788.61007089	Core	Hawkes_Bay	NL	10	-57	50.41
KAP	13.2045348006632	896170.142885882	Core	Kapuskasing	ON	12	-83.16	49.38
LON	24.9345452180379	294997.055617406	Edge	London	ON	9	-81.16	43.18
LPD	11.9740254801674	652590.820799438	Edge	Lake_Placid	NY	12	-73.73	44.35
MBK	31.5024264913277	2114214.37939358	Core	Main_Brook	NL	12	-55.78	51.12
MMT	8.8140785025651	873177.51121403	Edge	Moose_Mountain_Area	SK	14	-102.59	49.87
NBY	8.42977938644493	674707.752090192	Core	North_Bay	ON	11	-79.52	46.33
NIC	13.811931469306	250774.796290302	Edge	Nicolet	WI	2	-88.38	44.62
OFR	8.49735789583322	1175397.51441722	Core	Over_Flowing_River	MB	15	-101.1	53.14
OUT	12.7193425917434	1123804.64021654	Core	Outlook	SK	14	-106.25	51.17
RAD	22.7109631709823	1449644.79937625	Core	Radisson	QC	14	-77.67	53.43
SKN	8.89913344220394	1243549.64029901	Core	Saskatoon	SK	14	-106.58	52.34
SLC	8.34419479175333	661589.276908487	Edge	St._Lawrence_County	NY	15	-75.17	44.79
SSR	62.5713132145557	710418.91285729	Edge	Shoeshone_River	WY	16	-109.61	44.46
TIM	14.2989880023652	821849.740597834	Core	Timmins	ON	14	-81.63	48.36
TUR	14.7496234169499	1391820.75300902	Core	Turtleford	SK	13	-108.37	53.2
UMI	35.141460982184	1778826.75133991	Core	Umiujaq	QC	4	-76.28	56.34
USDA1	17.2674646906684	364364.331458623	Edge	Kettle_River	MN	4	-92.98	46.5
USDA10	16.8014496440322	385127.102569811	Edge	Iron_River	WI	6	-91.58	46.58
USDA12	14.9265094580409	456984.719283653	Edge	Champion	MI	7	-88.03	46.58
USDA13	14.4833871718066	405382.680070759	Edge	Sagola	MI	5	-88.03	46.08
USDA14	14.5518589364224	354089.033680211	Edge	Pembine	WI	4	-88.03	45.58
USDA15	13.0709342091968	475968.676362469	Edge	Shingleton	MI	5	-86.87	46.42
USDA16	19.1341325520622	478152.286231398	Edge	Blaney_Park	MI	5	-85.85	46.08
USDA17	17.0901667292686	511542.217279255	Edge	Hessel	MI	7	-84.5	46
USDA18	18.2076064886821	448525.355944136	Edge	Afton	MI	7	-84.5	45.42
USDA19	16.4127086685785	406371.792152907	Edge	Johannesburg	MI	3	-84.3	45
USDA2	14.3507482250602	392121.687744813	Edge	Floodwood	MN	7	-92.98	46.75
USDA21	14.8614312653852	303878.05558978	Edge	Antigo	WI	4	-89.23	45.42
USDA3	20.0822039213575	448967.088626944	Edge	Two_Harbors	MN	3	-91.67	47.17
USDA4	10.2236257724898	531459.391134926	Edge	Ely	MN	5	-91.67	47.92
USDA5	12.889298458448	466410.70020058	Edge	Hibbing	MN	5	-92.98	47.42
USDA6	12.9870929036281	521885.266943309	Edge	Cook	MN	2	-92.98	47.92
USDA7	8.59911082885661	577387.225829956	Edge	Kabetogama	MN	4	-92.98	48.42
USDA8	10.6840882506639	566130.238944869	Edge	Waskish	MN	3	-94.52	48.33
USDA9	12.0814865367249	520557.036552433	Edge	Blackduck	MN	5	-94.52	47.92
VER	7.50954106896154	704329.924494891	Edge	Stowe/Waterbury	VT	4	-72.63	44.38
WLK	20.8345278943538	2789781.3438174	Core	Watson_Lake	YT	13	-128.46	60.05
WTR	23.3215285128598	745159.808142673	Core	White_River	ON	12	-85.27	48.59
